"full_name","epoch_mjd","a","e","i","om","w","ma","diameter","pha","class","per"
"105140 (2000 NL10)",60600,0.9143,0.8169,32.54,237.29,281.67,35.84,1.946,N,ATE,319
"137805 (1999 YK5)",60600,0.8294,0.5583,16.75,349.53,292.86,90.64,2.243,N,ATE,276
"137924 (2000 BD19)",60600,0.8764,0.8949,25.74,333.69,324.35,212.72,0.970,N,ATE,300
"138127 (2000 EE14)",60600,0.6618,0.5331,26.46,155.75,197.86,76.31,0.754,Y,ATE,197
"141432 (2002 CQ11)",60600,0.9762,0.4275,2.47,81.34,272.65,241.70,0.239,Y,ATE,352
"141484 (2002 DB4)",60600,0.8579,0.3695,16.60,234.23,94.16,279.38,1.034,N,ATE,290
"152563 (1992 BF)",60600,0.9079,0.2716,7.25,315.19,336.55,146.53,0.272,N,ATE,316
"152742 (1998 XE12)",60600,0.8781,0.7392,13.43,280.02,353.16,257.41,0.413,N,ATE,301
"152931 (2000 EA107)",60600,0.9297,0.4557,28.58,52.88,278.02,337.31,1.646,N,ATE,327
"153201 (2000 WO107)",60600,0.9111,0.7808,7.77,69.20,213.75,219.51,0.510,Y,ATE,318
"162080 (1998 DG16)",60600,0.8967,0.3582,16.21,344.33,356.88,323.78,0.777,N,ATE,310
"162142 (1998 VR)",60600,0.8753,0.3179,21.81,46.36,170.75,75.02,0.462,N,ATE,299
"162385 (2000 BM19)",60600,0.7407,0.3586,6.88,70.21,247.71,47.29,0.812,N,ATE,233
"162483 (2000 PJ5)",60600,0.8727,0.3737,51.18,124.41,7.65,22.18,0.906,N,ATE,298
"163243 (2002 FB3)",60600,0.7616,0.6016,20.28,203.56,148.34,109.40,1.682,Y,ATE,243
"163348 (2002 NN4)",60600,0.8758,0.4345,5.42,259.43,222.21,207.78,0.735,Y,ATE,299
"163899 (2003 SD220)",60600,0.8276,0.2100,8.54,273.71,326.99,128.47,0.791,Y,ATE,275
"215442 (2002 MQ3)",60600,0.9137,0.2743,36.29,109.06,346.89,352.21,1.075,N,ATE,319
"234145 (2000 EW70)",60600,0.9376,0.3213,5.43,178.03,125.77,294.52,0.344,Y,ATE,332
